date,open,high,low,close,ticker
29796,$129.16,$130.39,$128.37,$129.16,SPX
29795,$129.14,$130.44,$128.28,$129.14,SPX
29794,$129.90,$130.67,$128.43,$129.90,SPX
29791,$128.46,$129.31,$127.11,$128.46,SPX
29790,$127.40,$128.26,$125.96,$127.40,SPX
29789,$127.13,$129.72,$126.70,$127.13,SPX
29788,$128.34,$129.60,$127.08,$128.34,SPX
29787,$128.72,$130.60,$127.98,$128.72,SPX
29784,$130.76,$131.60,$129.49,$130.76,SPX
29783,$130.34,$131.41,$129.30,$130.34,SPX
29782,$130.23,$131.59,$128.89,$130.23,SPX
29781,$129.65,$130.78,$128.14,$129.65,SPX
29780,$129.64,$130.82,$128.79,$129.64,SPX
29777,$129.37,$129.53,$129.21,$129.37,SPX
29776,$129.30,$130.08,$127.57,$129.30,SPX
29775,$128.32,$129.57,$126.95,$128.32,SPX
29774,$128.24,$129.60,$126.39,$128.24,SPX
29773,$127.37,$128.99,$126.44,$127.37,SPX
29769,$128.64,$130.48,$127.84,$128.64,SPX
29768,$129.77,$131.69,$129.04,$129.77,SPX
29767,$131.21,$131.86,$131.28,$131.21,SPX
29766,$131.89,$133.50,$131.20,$131.89,SPX
29763,$132.56,$133.75,$131.71,$132.56,SPX
29762,$132.81,$134.30,$131.78,$132.81,SPX
29761,$132.66,$133.90,$131.65,$132.66,SPX
29760,$133.35,$133.96,$131.16,$133.35,SPX
29759,$131.95,$133.54,$131.10,$131.95,SPX
29756,$132.27,$133.27,$130.49,$132.27,SPX
29755,$131.64,$133.98,$130.94,$131.64,SPX
29754,$133.32,$133.98,$130.81,$133.32,SPX
29753,$132.15,$134.24,$131.29,$132.15,SPX
29752,$133.61,$135.67,$132.78,$133.61,SPX
29749,$133.49,$135.09,$132.40,$133.49,SPX
29748,$133.75,$133.30,$132.55,$133.75,SPX
29747,$132.32,$133.49,$131.04,$132.32,SPX
29746,$131.97,$133.30,$130.94,$131.97,SPX
29745,$132.24,$133.68,$131.29,$132.24,SPX
29742,$132.22,$132.98,$130.17,$132.22,SPX
29741,$130.96,$132.21,$129.72,$130.96,SPX
29740,$130.71,$131.37,$128.77,$130.71,SPX
29739,$130.62,$132.96,$129.84,$130.62,SPX
29738,$132.41,$134.62,$131.49,$132.41,SPX
29735,$132.59,$134.92,$132.00,$132.59,SPX
