intdate,ri,cpi,gdp,inf,unp,dji_open,dji_open_lag30,dji_open_lag90,dji_open_lag365,dji_close,dji_close_lag30,dji_close_lag90,dji_close_lag365,dji_high,dji_high_lag30,dji_high_lag90,dji_high_lag365,dji_low,dji_low_lag30,dji_low_lag90,dji_low_lag365
19740517,t,20.5048583,,11.0548048,,818.84000000,40.05000000,15.95000000,208.18000000,818.84000000,40.05000000,15.95000000,208.18000000,818.84000000,40.05000000,15.95000000,208.18000000,818.84000000,40.05000000,15.95000000,208.18000000
19740520,t,20.5048583,,11.0548048,,812.42000000,35.12000000,10.69000000,210.53000000,812.42000000,35.12000000,10.69000000,210.53000000,812.42000000,35.12000000,10.69000000,210.53000000,812.42000000,35.12000000,10.69000000,210.53000000
19740521,t,20.5048583,,11.0548048,,809.53000000,30.43000000,31.95000000,218.01000000,809.53000000,30.43000000,31.95000000,218.01000000,809.53000000,30.43000000,31.95000000,218.01000000,809.53000000,30.43000000,31.95000000,218.01000000
19740522,t,20.5048583,,11.0548048,,802.57000000,44.27000000,37.61000000,230.69000000,802.57000000,44.27000000,37.61000000,230.69000000,802.57000000,44.27000000,37.61000000,230.69000000,802.57000000,44.27000000,37.61000000,230.69000000
19740523,t,20.5048583,,11.0548048,,805.23000000,38.48000000,41.17000000,227.96000000,805.23000000,38.48000000,41.17000000,227.96000000,805.23000000,38.48000000,41.17000000,227.96000000,805.23000000,38.48000000,41.17000000,227.96000000
19740524,t,20.5048583,,11.0548048,,816.65000000,28.16000000,39.44000000,219.62000000,816.65000000,28.16000000,39.44000000,219.62000000,816.65000000,28.16000000,39.44000000,219.62000000,816.65000000,28.16000000,39.44000000,219.62000000
19740528,t,20.5048583,,11.0548048,,814.30000000,29.49000000,57.86000000,218.89000000,814.30000000,29.49000000,57.86000000,218.89000000,814.30000000,29.49000000,57.86000000,218.89000000,814.30000000,29.49000000,57.86000000,218.89000000
19740529,t,20.5048583,,11.0548048,,795.37000000,65.86000000,60.10000000,235.11000000,795.37000000,65.86000000,60.10000000,235.11000000,795.37000000,65.86000000,60.10000000,235.11000000,795.37000000,65.86000000,60.10000000,235.11000000
19740530,t,20.5048583,,11.0548048,,803.58000000,63.83000000,51.05000000,221.48000000,803.58000000,63.83000000,51.05000000,221.48000000,803.58000000,63.83000000,51.05000000,221.48000000,803.58000000,63.83000000,51.05000000,221.48000000
19740531,t,20.5048583,,11.0548048,,802.17000000,67.75000000,61.30000000,225.07000000,802.17000000,67.75000000,61.30000000,225.07000000,802.17000000,67.75000000,61.30000000,225.07000000,802.17000000,67.75000000,61.30000000,225.07000000
19740603,t,20.67362257,,11.0548048,,821.26000000,38.64000000,49.74000000,191.99000000,821.26000000,38.64000000,49.74000000,191.99000000,821.26000000,38.64000000,49.74000000,191.99000000,821.26000000,38.64000000,49.74000000,191.99000000
19740604,t,20.67362257,,11.0548048,,828.69000000,29.88000000,34.39000000,180.49000000,828.69000000,29.88000000,34.39000000,180.49000000,828.69000000,29.88000000,34.39000000,180.49000000,828.69000000,29.88000000,34.39000000,180.49000000
19740605,t,20.67362257,,11.0548048,,830.18000000,15.80000000,29.21000000,174.64000000,830.18000000,15.80000000,29.21000000,174.64000000,830.18000000,15.80000000,29.21000000,174.64000000,830.18000000,15.80000000,29.21000000,174.64000000
