txtdate,intdate,recession_indicator,country,spy_open,spy_high,spy_low,spy_close,spx_open,spx_high,spx_low,spx_close,dji_open,dji_high,dji_low,dji_close,cpi,gdp,inflation,unemployment
25815,19700904,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25816,19700905,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25817,19700906,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25818,19700907,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25819,19700908,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25820,19700909,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25821,19700910,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25822,19700911,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25823,19700912,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25824,19700913,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25825,19700914,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25826,19700915,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25827,19700916,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25828,19700917,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25829,19700918,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25830,19700919,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25831,19700920,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25832,19700921,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25833,19700922,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25834,19700923,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25835,19700924,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25836,19700925,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25837,19700926,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25838,19700927,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25839,19700928,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25840,19700929,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25841,19700930,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25842,19701001,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25843,19701002,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25844,19701003,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25845,19701004,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25846,19701005,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25847,19701006,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25848,19701007,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25849,19701008,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25850,19701009,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25851,19701010,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25852,19701011,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25853,19701012,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25854,19701013,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25855,19701014,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25856,19701015,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25857,19701016,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25858,19701017,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25859,19701018,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25860,19701019,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25861,19701020,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25862,19701021,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25863,19701022,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
